Firma;Anrede;Vorname;Nachname;Strasse;PLZ;Ort;Öffnungszeiten;Telefon;Pin Farbe;Temporär;Transporte
Wallisrollt Valaisroule;;;;Plaine Bellevue;3960;Sierre;Ende Mai – Ende Oktober<br />Mittwoch bis Sonntag, 09h00–12h15 und 13h00–18h00;+41 79 127 50 21;FE7569;;
Wallisrollt Valaisroule;;;;Place de la Planta;1950;Sion;Ende Mai – Ende Oktober<br />Mittwoch bis Sonntag, 09h00–12h15 und 13h00–18h00;+41 79 127 50 22;FE7569;;
Wallisrollt Valaisroule;;;;Avenue de la Gare 9;1964;Conthey;Ende Mai – Ende Oktober<br />Mittwoch bis Sonntag, 09h00–12h15 und 13h00–18h00;+41 79 127 50 23;FE7569;;
Wallisrollt Valaisroule;;;;Place du Petit Pont;1926;Fully;Ende Mai – Ende Oktober<br />Mittwoch bis Sonntag, 09h00–12h15 und 13h00–18h00;+41 79 127 50 25;FE7569;;
Wallisrollt Valaisroule;;;;Place de la Gare;1920;Martigny;Ende Mai – Ende Oktober<br />Mittwoch bis Sonntag, 09h00–12h15 und 13h00–18h00;+41 79 127 50 26;FE7569;;
Wallisrollt Valaisroule;;;;Place Val de Marne;1890;St-Maurice;Ende Mai – Ende Oktober<br />Mittwoch bis Sonntag, 09h00–12h15 und 13h00–18h00;+41 79 127 50 27;FE7569;;
Wallisrollt Valaisroule;;;;Port du Bouveret;1897;Port-Valais;Ende Mai – Ende Oktober<br />Mittwoch bis Sonntag, 09h00–12h15 und 13h00–18h00;+41 79 127 50 28;FE7569;;
Wallisrollt Valaisroule;;;;Rue de l’Eglise;1955;St-Pierre-de-Clages;Ende Mai – Ende Oktober<br />Mittwoch bis Sonntag, 09h00–12h15 und 13h00–18h00;+41 79 127 50 24;FE7569;;
Wallisrollt Valaisroule;;;;Route de Fully 100;1913;Saillon;Ende Mai – Ende Oktober<br />Mittwoch bis Sonntag, 09h00–12h15 und 13h00–18h00;+41 27 744 13 89;FE7569;;
Velotraeff - Ettingen;Herr;Christian ;Jehle ;Fürstensteinhof 21;4107 ;Ettingen   ;"MO geschlossen<br />DI-FR  09:00 - 13:00; 15:00 - 19:00<br />SA 10:00 - 16:00";;FE7569;;
Veloterra;Herr;Domenico;Ciano;Länggassstrasse 74;3012;Bern;"Di-Fr 08:00 – 12:00, 14:00 – 18:00; Sa 08:30 – 12:00";+41 31 301 33 66;FE7569;;
Velostation Winterthur;Herr;Benedikt;Arnold;Bahnhofplatz 17;8400;Winterthur;täglich 5.00 - 1.00 Uhr;+41 52 267 56 71;FE7569;;
Velostation Wetzikon;;;;Poststrasse 9;8620;Wetzikon;Mo-Fr 05:45 – 00:00;+41 79 248 93 52;FE7569;;
Velostation Thun;;;;Bahnhofplatz;3600;Thun;;;;;
Velostation Schaffhausen;;;;Bahnhofstrasse 51;8200;Schaffhausen;"Mo-Fr 05:45 - 20:45; Sa-So & Feiertage 08:00 – 19:00";+41 52 620 42 50;FE7569;;
Velostation Liestal GmbH;;;;Seestrasse 4;4410;Liestal;"Mo-Fr 06:30 – 19:00; Sa 09:00 – 18:00; April - Oktober: zusätzlich So 09:00 – 13:00, 16:00 – 18:00";+41 61 921 50 61;09F932;;
Velostation Langenthal;;;;Eisenbahnstrasse 8 (Bahnhof);4900;Langenthal;"Mo-Fr 06:30 – 19:00; Sa 07:00 – 17:30; So 09:00 – 17:30";+41 62 923 00 31;FE7569;;
Velostation Interlaken;;;;Bahnhofstrasse 28;3800;Interlaken;Mo-Fr 8:00-18:00<br />Sa-So geschlossen;+41 33 823 15 05;09F932;;
Velosport;Herr;Jürgen;Jurasch;Gartenstrasse 5;3110;Münsingen;"Mo 14:00 – 18:30; Di-Fr 07:30 – 11:45, 14:00 – 18:30; Sa 07:30 – 16:00";+41 31 721 08 21;FE7569;;
Velos-Mofas Hansjörg Grossen;Herr;Hansjörg;Grossen;Reckental;3716;Kandergrund;"Mo-Fr 08:00 – 12:00, 13:15 – 18:00; Sa 08:00 – 12:00";+41 33 671 26 00;FE7569;;
Velorama;Herr;Daniel;Buchli;Spitalgasse 3;4900;Langenthal;"Mi-Fr 09:00 – 12:00, 13:30 – 18:30; Sa 09:00 – 12:00, 13:30 – 16:00";+41 62 922 96 50;FE7569;;
Veloplus;Herr;Christoph;Ruprecht;Bernstrasse 65;3072;Ostermundigen;MO-FR 09.00 - 18.30<br />SA 09.00 - 17.00<br />Nov-Feb erst ab 10:00 geöffnet;0840 44 47 77;FE7569;;
Veloplus;;;;Oberhofstrasse 16;6020;Emmenbrücke;Mo-Fr 09:00 – 18:30<br />Sa 09:00 – 16:00;0840 444 777;FE7569;;
Veloplus;;;;Leimenstrasse 78;4051;Basel;Mo-Fr 09:00 – 18:30<br />Sa 09:00 – 17:00;0840 44 47 77;FE7569;;
Veloplus;;;;Konradstrasse 19;8005;Zürich;MO-FR: 9 - 19h<br />SA: 9 - 18h;;FE7569;;
Veloplus;;;;St. Jakob-Strasse 87;9000;St. Gallen;MO-FR : 10 - 18.30h<br />SA: 9 - 16h;;FE7569;;
Veloordnung ERZ;;;;Wasserwerkstrasse 1;8064;Zürich;nur auf Voranmeldung;+41 44 645 77 77;FE7569;;
Velokurierladen Bern;Herr;Michel;Tobler;Lorrainestrasse 21;3013;Bern;MO geschlossen<br />DI-FR: 10 - 12.30, 14-18:30<br />SA: 10 - 16;+41 31 333 05 20;FE7569;;
VeloKrea;Herr;Rolf;Lussi;Effingerstrasse 103;3008;Bern;"Mo 14:00 – 18:00; Di, Do-Fr 08:00 – 12:30, 14:00 – 18:00; Mi 08:00 – 12:30; Sa 08:00 – 16:00";+41 31 381 19 00;FE7569;;
Velo Köpfli GmbH;Herr;Joseph;Köpfli;Bronschhoferstrasse 44;9500;Wil SG;Mo: geschlossen, Di: 9:00-20:00<br />Mi - Fr: 9:00-18:00, Sa: 8:00-15:00;+41 71 911 35 64;FE7569;;
Velo Frank, Bikes & Zubehör;Herr;Edwin;Frank;Seefeldstrasse 2;6374;Buochs;Mo-Mi: 07:30-12:00, 13:30-18:30<br />Do: geschlossen<br />Fr: 07:30-12:00, 13:30-18:30<br />Sa: 7:30-14:00;+41 41 620 31 71;FE7569;;
VAM Düdingen;;;;Mostereiweg 6;3186;Düdingen;;;09F932;;
VAM Bulle;;;;Rue de la Toula 20;1630;Bulle;;;09F932;;
Umweltarena AG Spreitenbach;Herr;Cédric;Berli;Türliackerstrasse 4;8957;Spreitenbach;"DO & FR: 10 - 18h ; SA & SO: 10 - 17h";+41 56 418 13 15;FE7569;;
TS-Velos;Herr;Thomas;Steiner;Jurastrasse 2;4542;Etzikon;DI, MI, FR: 8 - 18.30h<br />DO: 8 - 21h<br />SA: 9 - 16h;+41 32 614 04 45;FE7569;;
Touristenbüro;;;;Bodmen;3935;Bürchen;"Mo-So 09:00 – 12:00, 14:00 – 17:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 27 934 17 16;FE7569;;
Tourismus-Büro;;;;DLZ Tourist Office;3932;Visperterminen VS;"Mo-Fr 08:30 – 11:30, 14:00 – 17:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 27 948 00 48;FE7569;;
STRID SA;Monsieur;Jean Paul;Schindelholz;Petits-Champs 2;1400;Yverdon-les-Bains;Lu-Ve 8:00-12:00, 13:30-18:00<br />Sa 8:30-17:00;+41 24 424 01 11;FE7569;;
Stiftung intact;;;;Bahnhofstrasse 16;3550;Langnau im Emmental;Mo–Fr 08.00–12.00 und 13.30–17.00 ;+41 34 402 64 90;09F932;;
Stiftung intact;;;;Kirchbergstrasse 21;3401;Burgdorf;Mo-Fr 09:00 – 18:30, Sa-So 09:00 – 17:30;+41 34 423 23 80;09F932;;
Stiftung intact;Herr;Lukas;Moser;Hintergasse 4 ;3422;Kirchberg;Mo–Fr, 08.00–12.00 | 13.30–17.00;+41 34 445 37 79;FE7569;;
stiftung azb;Herr;Oliver;Röthlisberger;Sägetstrasse 19;4802;Strengelbach;Mo-Fr 8-12 & 13-17;+41 62 746 96 51;FE7569;;
Stiftung Arwole;;;;Grossfeldstrasse 9;7320;Sargans;"April-Oktober: Di-Fr 08:00 – 12:00, 13:15 – 17:30; Mi 08:00 – 12:00, 13:15-18:30<br />November-Februar: Mo-Fr 08:00 – 12:00, 13:15 – 17:00";+41 81 650 55 20;09F932;;
Stazione, sportello deposito bagagli;;;;Stazione;6600;Locarno;"Mo-Sa 09:00 – 13:00, 15:10 – 18:30; So 09:00 - 12:30, 15:00 - 18:30<br />Trasporto gratuito solo con comanda in precedenza del’ etichetta di trasporto sotto: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/en/Contact/Contact-Form"">velafrica.ch</a> o 031 979 70 50";0900 300 300;FE7569;;
Stazione, sportello deposito bagagli;;;;Stazione;6655;Intragna;"Mo-So 07:20 – 08:30, 09:30 – 11:10, 13:00 – 14:40, 15:20 – 17:50<br />Trasporto gratuito solo con comanda in precedenza del’ etichetta di trasporto sotto: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/en/Contact/Contact-Form"">velafrica.ch</a> o 031 979 70 50";0900 300 300;FE7569;;
Stazione, sportello deposito bagagli;;;;Piazzale Stazione 2;6900;Lugano;"Mo-So 07:00 - 19:00<br />Trasporto gratuito solo con comanda in precedenza del’ etichetta di trasporto sotto: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/en/Contact/Contact-Form"">velafrica.ch</a> o 031 979 70 50";0900 300 300;FE7569;;
Stazione, sportello deposito bagagli;;;;via Franchini;6850;Mendrisio;"Lu-Ve 07:30 – 12:00, 13:30 – 18:30; Sa 09:00 – 12:00, 13:30 – 17:00<br />Trasporto gratuito solo con comanda in precedenza del’ etichetta di trasporto sotto: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/en/Contact/Contact-Form"">velafrica.ch</a> o 031 979 70 50";0900 300 300;FE7569;;
Stazione, sportello deposito bagagli;;;;Via G. Motta 5;6830;Chiasso;"Lu-Ve 07:30 – 12:10, 13:30 – 18:30; Sa 08:00 – 12:10, 13:30 – 18:10; Do 09:30 – 12:10, 13:30 – 18:10<br />Trasporto gratuito solo con comanda in precedenza del’ etichetta di trasporto sotto: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/en/Contact/Contact-Form"">velafrica.ch</a> o 031 979 70 50";0900 300 300;FE7569;;
Stazione, sportello deposito bagagli;;;;Viale Stazione 36;6500;Bellinzona TI;"Mo-Fr 08:00 – 18:00; Sa-So 08:00 – 17:45<br />Trasporto gratuito solo con comanda in precedenza del’ etichetta di trasporto sotto: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/en/Contact/Contact-Form"">velafrica.ch</a> o 031 979 70 50";0900 300 300;FE7569;;
Stazione, sportello deposito bagagli;;;;Via Bellinzona 7;6710;Biasca TI;"Lu-Ve 12:30 – 18:15<br />Trasporto gratuito solo con comanda in precedenza del’ etichetta di trasporto sotto: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/en/Contact/Contact-Form"">velafrica.ch</a> o 031 979 70 50";0900 300 300;FE7569;;
Stadt Dübendorf;Frau;Stefanie;Strebel;Usterstrasse 105;8600;Dübendorf;Mo, Di, Do, Fr: 9:00 - 11:30 & 13:30 - 17:00<br />Mi: 13:30 - 17:00<br />Sa: 9:00 - 14:00;+41 44 801 83 68;FE7569;;
SOS Ticino;Signore;Pietro;Di Conza;Via Cantonale/Stabile Galli Nord;6802;Rivera-Monteceneri;Montag/Lunedi: 13:30–16:30<br />Mittwoch/Mercoldi: 13.30–16.30;+41 91 921 01 02;09F932;;
SERVCO;Herr;Thomas;Hänisch;Bahnhofstrasse 4;5012;Schönenwerd;Di-Fr 9–12 / 14-18:30 und Sa 9-12;+41 62 216 04 59;FE7569;;
Seidenhof Brocki;;;;Häldelistrasse 7;8712;Stäfa;"MI-FR 12.30 - 18.00; SA 9.30-16.00";;FE7569;;
SEB Basisbeschäftigung Zürich;;;;Aemtlerstrasse 203;8003;Zürich;Mo-Fr 08:00 – 15:00;+41 43 336 10 80;09F932;;
Quellenhof Stiftung;;;;Welsikerstrasse 3;8474;Dinhard;Mo-Fr 08:00 – 12:00, 13:00 – 16:00;+41 52 336 19 00;09F932;;
Protravail;;;;Av. de Sévelin 15;1000;Lausanne;08:00-12:00<br />14:00-17:00;;09F932;;
Projekt-Werkstatt;;;;Güterbahnhofstrasse 4-6;9000;St. Gallen;"Mo-Fr 07:30 – 12:00, 13:00 – 17:00; Sa 09:00 – 12:00";+41 71 223 89 71;09F932;;
Private Sammelstelle für Velafrica;Herr;Matthias;Maurer;Dorfstrasse 10;3083;Trimstein;Velos können deponiert werden, bitte mit Zettel markieren.;+41 79 348 82 76;FE7569;;
Poste;;;;Route de France 2;1875;Morgins;"16.12.14 - 02.03.15 lun-ven 08:00 – 10:00; sam 08:30 – 10:30<br />03.03.15 - 13.08.15 lun-ven 08:00 – 10:00, 15:15 – 17:15; sam 08:30 – 10:30<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0848 888 888;FE7569;;
Poste;;;;Route des Muverans 34;1911;Ovronnaz;"lun-ven 08:00 – 11:30, 15:00 – 17:30; sam 09:00 – 11:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0848 888 888;FE7569;;
Poste;;;;rue de la Poste 2A;1936;Verbier;"lun-ven 08:30 – 12:00, 14:15 – 17:45; sam 09:00 – 11:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Poste;;;;Barmaz A;3961;St-Luc;"Mo,Do,Fr,Sa 08:15 – 10:15; Di,Mi 13:00 – 14:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 27 475 11 13;FE7569;;
Posta;;;;Promontogno 188;7606;Promontogno;"Lu-Ve 09:00 – 11:00, 15:00 – 17:30; Sa 09:00 – 11:00<br />Trasporto gratuito solo con comanda in precedenza del’ etichetta di trasporto sotto: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/en/Contact/Contact-Form"">velafrica.ch</a> o 031 979 70 50";+41 58 453 28 36;FE7569;;
Posta;;;;Piazéta 1;6535;Roveredo GR;"Lu-Ve 07:30 – 11:15, 14:00 – 18:00; Sa 08:00 – 11:00<br />Trasporto gratuito solo con comanda in precedenza del’ etichetta di trasporto sotto: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/en/Contact/Contact-Form"">velafrica.ch</a> o 031 979 70 50";+41 58 453 90 60;FE7569;;
Posta;;;;Veia Granda 44;7440;Andeer;"Mo-Fr 08:00 – 11:00, 14:30 – 17:30; Sa 08:00 – 10:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 453 24 18;FE7569;;
Posta;;;;Plaz 29;7536;Sta. Maria Val Müstair;"Mo-Fr 09:00 – 11:00, 15:00 – 17:00; Sa 08:00 – 10:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 453 28 33;FE7569;;
Posta;;;;Sutvitg 239;7144;Vella;"Mo-Fr 08:30 – 11:30, 14:00 – 17:30; Sa 08:30-11:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 453 24 27;FE7569;;
Posta;;;;Stradung 37;7460;Savognin GR;"Mo-Fr 07:45 – 11:15, 14:45 – 17:15; 08:30 – 11:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0848 888 888;FE7569;;
Posta;;;;Plaz d'Immez 65;7537;Müstair;"Mo–Fr  08:00 – 12:00, 14:00 – 17:15; Sa 08:00 - 10:15<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 453 28 34;FE7569;;
Posta;;;;Piazza Nuova 23;6537;Grono;"01.01.15 - 12.08.15 Lu-Ve 7:30 – 11:00, 15:00 – 18:00; Sa 09:00 – 11:00<br />Trasporto gratuito solo con comanda in precedenza del’ etichetta di trasporto sotto: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/en/Contact/Contact-Form"">velafrica.ch</a> o 031 979 70 50";+41 91 827 12 77;FE7569;;
Posta;;;;Plaz 114;7551;Ftan;"Mo-Fr 07:45 - 09:45, 14:30 - 17:45<br />22.04.15 - 31.05.15 Mo-Fr 09:00 – 11:00, 15:00 – 18:00<br />01.06.15 - 12.08.15 Mo-Sa 09:00 – 11:00; Mo-Fr 15:00 – 18:00; Sa 14:00 – 17:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0848 888 888;FE7569;;
Posta;;;;Sentupada;7165;Breil/Brigels;"Mo-Sa 08:00 – 11:00; Mo-Fr 14:30 – 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 453 24 24;FE7569;;
Posta;;;;Bahnhofstrasse 2;3792;Saanen BE;"Mo-So 08:30 – 11:20, 12:50 – 17:05<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 33 744 14 50;FE7569;;
Posta;;;;Sot Pradè 134;7554;Sent;"Mo-Fr 8:30 – 12 15 – 17:30 Sa 08:30 – 10:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 81 861 88 29;FE7569;;
Posta;;;;Via Principala 67B;7031;Laax GR;"Mo-Fr 08:00 – 11:00, 15:30 - 18:00; Sa 08:00 - 11:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 453 22 03;FE7569;;
Post;;;;Hauptstrasse 230;7435;Splügen;"Mo-Fr 08:30 – 10:30, 14:30 – 17:30; Sa 08:00 – 10:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 453 24 17;FE7569;;
Post;;;;place de la Gare 9;7083;Lantsch/Lenz;"Mo-Fr 09:30 – 11:30, 15:00 – 17:30; Sa 09:00 – 11:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 21 886 20 15;FE7569;;
Post;;;;Hauptstrasse 397;1656;Jaun;"Mo-Sa 08:00 – 9:30; Mo-Fr 15:30 – 17:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0848 88 88 88;FE7569;;
Post;;;;Dorfstrasse 6;7563;Samnaun Dorf;"Mo–Fr  08:30 – 11:00, 14:00 – 16:40; Sa 08:30 - 11:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 453 28 35;FE7569;;
Post;;;;Dorfstrasse 14;9657;Unterwasser;"Mo-Fr 08:15 – 11:30, 14:00 – 17:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 453 10 21;FE7569;;
Post;;;;Hauptstrasse 95;7104;Versam;"Mo-Fr 08:00 – 11:30, 16:00 - 18:00; Sa 08:00 - 11:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 453 24 23;FE7569;;
Post;;;;Pillonstrasse 266A;3785;Gsteig b. Gstaad;"Mo-Sa 6:30 – 12:15; Mo-Fr 13:30 – 18:30; Sa 13:30 – 18:00; So 7 – 12<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0848 88 88 88;FE7569;;
Post;;;;Meierhof 24;7134;Obersaxen Meierhof;"Mo-Fr 08:30 - 10:30, 14:30 - 17:30; Sa 08:30 - 11:00<br />06.04.15 - 11.08.15 Mo-Fr 14:30 – 17:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""""_blank"""" href=""""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"""">velafrica.ch</a> oder 031 979 70 50";+41 81 933 11 71;FE7569;;
Post;;;;Postgebäude;3925;Grächen;"Mo–Fr  08:00 – 12:00, 14:30 – 17:30; Sa  08:00 – 11:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""""_blank"""" href=""""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"""">velafrica.ch</a> oder 031 979 70 50";+41 58 454 26 22;FE7569;;
Post;;;;La Poste;3961;Zinal;"Mo–Sa  08:30 – 10:30<br />13.04.15 - 12.08.15 lun-sam 08:30 - 10:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""""_blank"""" href=""""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"""">velafrica.ch</a> oder 031 979 70 50";+41 58 454 23 31;FE7569;;
Post;;;;Rothornstrasse 21;6174;Sörenberg;"27.12.14 - 06.04.15 Mo-So 08:00 – 12:00; Mo-Fr 13:30 – 17:00, 13:30 – 17:00<br />07.04.15 - 01.06.15 Mo-Fr 08:00 – 12:00, 13:30 – 17:00<br />02.06.15 - 04.07.15 Mo-Sa 08:00 – 12:00; Mo-Fr 13:30 – 17:00; Sa 13:30 – 16:00<br />05.07.15 - 12.08.15 Mo-So 08:00 – 12:00; Mo-Fr 13:30 – 17; Sa 13:30 – 16:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""""_blank"""" href=""""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"""">velafrica.ch</a> oder 031 979 70 50";+41 41 488 11 85;FE7569;;
Post;;;;Voa Principala 52;7078;Lenzerheide/Lai;"08.12.14 - 06.04.15 Mo-Fr 07:45 – 12:00, 13:45 – 18:00; Sa 8:00 – 11:00<br />07.04.15 - 29.06.15 Mo-Fr 07:45 – 12:00, 14:30 – 18:00; Sa 08:00 – 11:00<br />30.06.15 - 11.08.15 Mo-Fr 07:45 – 12:00, 13:45 – 18:00; Sa 08:00 – 11:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""""_blank"""" href=""""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"""">velafrica.ch</a> oder 031 979 70 50";+41 58 453 26 03;FE7569;;
